slug                |                   name_en                    |   gruppe   |   category_slug   |          source           |                                                                     form                                                                     | evidence_grade 
 sub_76a195461d                    | Methenolone enanthate                        | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 f05_metribolone_methyltrienolone  | Metribolone (Methyltrienolone)               | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 f05_nandrolone_cypionate          | Nandrolone Cypionate                         | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_77b68a4df6                    | Nandrolone decanoate                         | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_b00dbb8895                    | Nandrolone phenylpropionate                  | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 f05_superdrol_injectable          | Superdrol Injectable                         | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 f05_sustanon_250                  | Sustanon 250                                 | enhanced   | injizierbare_aas  | kimi_performance          | testosterone ester mixture (30/60/60/100 mg)                                                                                                 | A
 sub_c37cf4c399                    | Testosterone (base)                          | enhanced   | injizierbare_aas  | kimi_performance          | unesterified testosterone                                                                                                                    | A
 f05_testosterone_base_no_ester    | Testosterone Base (No Ester)                 | enhanced   | injizierbare_aas  | kimi_performance          | testosterone, no ester                                                                                                                       | A
 f05_testosterone_cypionate        | Testosterone Cypionate                       | enhanced   | injizierbare_aas  | kimi_performance          | testosterone 17beta-cyclopentylpropionate                                                                                                    | A
 f05_testosterone_enanthate        | Testosterone Enanthate                       | enhanced   | injizierbare_aas  | kimi_performance          | testosterone 17beta-heptanoate                                                                                                               | A
 f05_testosterone_isocaproate      | Testosterone Isocaproate                     | enhanced   | injizierbare_aas  | kimi_performance          | testosterone 17beta-isocaproate                                                                                                              | C
 f05_testosterone_phenylpropionate | Testosterone Phenylpropionate                | enhanced   | injizierbare_aas  | kimi_performance          | testosterone 17beta-phenylpropionate                                                                                                         | C
 f05_testosterone_propionate       | Testosterone Propionate                      | enhanced   | injizierbare_aas  | kimi_performance          | testosterone 17beta-propionate                                                                                                               | B
 f05_testosterone_suspension       | Testosterone Suspension                      | enhanced   | injizierbare_aas  | kimi_performance          | micronized testosterone, aqueous suspension                                                                                                  | C
 f05_testosterone_undecanoate      | Testosterone Undecanoate                     | enhanced   | injizierbare_aas  | kimi_performance          | testosterone 17beta-undecanoate                                                                                                              | A
 sub_c5698497ea                    | Trenbolone acetate                           | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_45993d058e                    | Trenbolone enanthate                         | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_77919d26d0                    | Trenbolone hexahydrobenzylcarbonate          | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_aca9fdd285                    | Trestolone                                   | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 f05_trestolone_decanoate          | Trestolone Decanoate                         | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_1682171053                    | Winstrol Depot (Stanozolol injectable)       | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_0104564af5                    | Chlorodehydromethyltestosterone              | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_58ee6dad0a                    | Fluoxymesterone                              | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_74bd69be0e                    | Mesterolone                                  | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_9132da9055                    | Methandienone                                | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_7babb7a00d                    | Methenolone acetate                          | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_580e50249e                    | Methyltestosterone                           | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_13bd216495                    | Mibolerone                                   | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_d8baf04840                    | Oxandrolone                                  | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_be89b6f179                    | Oxymetholone                                 | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_25fa4abc12                    | Stanozolol                                   | enhanced   | orale_aas         | kimi_performance          |                                                                                                                                              | D
 sub_906d55f873                    | 1-Testosterone                               | enhanced   | prohormone        | kimi_performance          |                                                                                                                                              | D
 sub_51209d4337                    | Desoxymethyltestosterone                     | enhanced   | prohormone        | kimi_performance          |                                                                                                                                              | D
 sub_74643711fd                    | Methyl-1-testosterone                        | enhanced   | prohormone        | kimi_performance          |                                                                                                                                              | D
 sub_6d457d3b80                    | AC-262356                                    | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 sub_c7f70d80aa                    | ACP-105                                      | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 sub_5baffd3a06                    | Andarine (S4)                                | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 f05_bms_564929                    | BMS-564929                                   | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | F
 f05_lgd_2226                      | LGD-2226                                     | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | F
 sub_755b2777e7                    | LGD-3303                                     | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 sub_a407e3597e                    | LGD-4033 (ligandrol)                         | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | D
 sub_a4deb37c4d                    | Ostarine (MK-2866, enobosarm)                | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | C
 sub_0f74726dcf                    | RAD-140 (testolone)                          | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 f05_rad_150_tlb_150               | RAD-150 (TLB-150)                            | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | F
 sub_4a080eb121                    | S-23                                         | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 sub_8651855adc                    | S1 (SARM)                                    | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | F
 sub_76d76b6568                    | YK-11                                        | enhanced   | sarm              | kimi_performance          |                                                                                                                                              | E
 sub_36d3652f3c                    | Bremelanotide                                | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | A
 sub_93740db432                    | Gonadorelin                                  | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | D
 sub_379fc96f78                    | hCG (human chorionic gonadotropin)           | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | A
 sub_b6e94fcdb9                    | Insulin Aspart                               | peptide    | hormone           | kimi_peptide              | recombinant human insulin analog (B28 Pro→Asp), 51 Aminosäuren                                                                               | A
 sub_001aa30312                    | Insulin Degludec                             | peptide    | hormone           | kimi_peptide              | recombinant human insulin analog (B30-Thr deletiert, γ-Glu-C16-Fettsäure an B29-Lys), 51 Aminosäuren                                         | A
 sub_a890a34462                    | Insulin Detemir                              | peptide    | hormone           | kimi_peptide              | recombinant human insulin analog (B30-Thr deletiert, Myristinsäure an B29-Lys), 51 Aminosäuren                                               | A
 sub_4288c6b5be                    | Insulin Glargine                             | peptide    | hormone           | kimi_peptide              | recombinant human insulin analog (A21-Gly, B31/B32-di-Arg), 51 Aminosäuren                                                                   | A
 sub_231f87d976                    | Insulin Glulisine                            | peptide    | hormone           | kimi_peptide              | recombinant human insulin analog (B3 Asn→Lys, B29 Lys→Glu), zinkfrei, 51 Aminosäuren                                                         | A
 sub_4e90e9ac53                    | Insulin Lispro                               | peptide    | hormone           | kimi_peptide              | recombinant human insulin analog (B28-Lys, B29-Pro vertauscht), 51 Aminosäuren                                                               | A
 sub_c25c43edc7                    | Kisspeptin                                   | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | D
 sub_58ea56993c                    | Melanotan I (afamelanotide)                  | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | B
 sub_15f568b407                    | Melanotan II                                 | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | F
 sub_977c6bc101                    | Oxytocin (intranasal/compounded)             | peptide    | hormone           | kimi_peptide              |                                                                                                                                              | A
 sub_a1f2c9d4e7                    | Regular Insulin (short-acting human insulin) | peptide    | hormone           | kimi_peptide              | Recombinantes Humaninsulin — strukturidentisch mit dem körpereigenen Insulin; klare, zinkhaltige Lösung, 51 Aminosäuren; als U-100 und U-500 | A
 sub_dcb8ab1209                    | BPC-157                                      | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_d6690ba08f                    | GHK-Cu                                       | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | D
 sub_8bddfad866                    | IGF-1 (mecasermin)                           | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | A
 sub_1c34a9f129                    | IGF-1 DES                                    | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_f4dce63643                    | IGF-1 LR3                                    | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_271e0f2373                    | KPV                                          | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_4d11344001                    | MGF (mechano growth factor)                  | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_69dad4a0dc                    | PEG-MGF                                      | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_d4f140bc56                    | TB-500 (Thymosin beta-4 fragment)            | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | E
 sub_fcb3b6dc30                    | Thymosin beta-4 (full)                       | peptide    | muskel_gewebe     | kimi_peptide              |                                                                                                                                              | D
 f05_ace_031                       | ACE-031                                      | peptide    | wachstumshormon   | kimi_peptide              | rekombinantes Fusionsprotein: extrazelluläre Domäne des humanen Activin-Rezeptors Typ IIB + IgG1-Fc (homodimer)                              | C
 sub_a21a1bf992                    | AOD-9604                                     | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_18fdc6c754                    | CJC-1295 (no DAC)                            | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_74cb0c22b1                    | CJC-1295 with DAC                            | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_edd818f338                    | Follistatin 344                              | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_a0f594fe4d                    | GHRH (native 1-44)                           | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | B
 sub_50a7fb5f3c                    | GHRP-2                                       | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | C
 sub_a1c4492d17                    | GHRP-6                                       | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_60eed56d73                    | Hexarelin                                    | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_af9270ada9                    | Human growth hormone (somatropin)            | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | A
 sub_16306ba3e5                    | Ipamorelin                                   | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_55820f027f                    | Mod GRF 1-29                                 | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | D
 sub_85c8d4ddec                    | Sermorelin                                   | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | B
 sub_313fdcf581                    | Tesamorelin                                  | peptide    | wachstumshormon   | kimi_peptide              |                                                                                                                                              | A
 vitamin-d3                        | Vitamin D3                                   | supplement | vitamine          | lumeos_supplement_catalog |                                                                                                                                              | 
(128 rows)
